"id","Type","Date","Distance","Moving Time","Name","Avg HR","Norm Power","Intensity","Load","FTP","Weight","W'","Avg HR%","Avg Power","Avg Speed","Cadence","Class","Climbing","Efficiency","Fitness","Fitness Load","Form","GAP","Stride","Work"
"i117229415","BackcountrySki","2026-01-11T10:38:06",11098.1904296875,14524,"Sacuieu Backcountry Skiing",105,,39.93256378173828,71,,75,,54.6875,,0.6919999718666077,,"Base",765,,29.472015380859375,71,0,,,
"i117012413","BackcountrySki","2026-01-10T11:13:46",9051.0302734375,11929,"Margau Backcountry Skiing",104,,37.54843521118164,50,,75,,54.166666666666664,,0.7089999914169312,,"Base",196,,28.471389770507812,50,5,,,
"i116870247","VirtualRun","2026-01-09T20:58:15",1772.8299560546875,1106,"Treadmill Running",124,,50.749549865722656,9,,75,,64.58333333333333,,1.4079999923706055,57.0533447265625,"Base",,,27.952651977539062,9,9,,0.8428534865379333,
"i116863697","WeightTraining","2026-01-09T20:08:02",,2818,"Strength",103,,37.50666046142578,11,,75,,53.645833333333336,,,,,,,27.952651977539062,0,9,,,
"i116146504","TrailRun","2026-01-06T12:42:15",10051.7998046875,4240,"Cluj-Napoca - Base",153,,80.0655746459961,76,,75,,79.6875,,2.3540000915527344,80.46294403076172,"Threshold",272,,29.794872283935547,76,6,2.5611085891723633,0.8839004039764404,
"i116016321","VirtualRun","2026-01-05T21:42:20",,673,"Treadmill Running",74,,23.1455020904541,1,,75,,38.541666666666664,,0.01600000075995922,55.30434799194336,"Base",,,28.681549072265625,1,13,,,
"i116001180","WeightTraining","2026-01-05T19:06:08",,5430,"Strength",87,,27.00770378112793,11,,75,,45.3125,,,,,,,28.681549072265625,0,13,,,
"i115712726","WeightTraining","2026-01-04T16:29:02",,5291,"Strength",94,,31.955907821655273,15,,75,,48.958333333333336,,,,,,,29.348543167114258,0,12,,,
"i115483766","AlpineSki","2026-01-03T13:36:09",16772.83984375,5768,"Ski Resort Marisel Ski",85,,26.029613494873047,12,,75,,44.270833333333336,,2.630000114440918,,"Base",1993,,30.055702209472656,12,13,,,
"i115282395","VirtualRun","2026-01-02T16:35:43",2210,1041,"Treadmill Running",132,,57.23141098022461,11,,75,,68.75,,1.8270000219345093,69.8587875366211,"Base",,,30.490758895874023,11,12,,0.9116786122322083,
